DATE,TIME_M,SYM_ROOT,SYM_SUFFIX,SIZE,PRICE
20210316,4:02:37.259369184,TSLA,,6,704.99
20210316,4:02:37.259369409,TSLA,,4,705
20210316,4:02:38.094036192,TSLA,,11,705
20210316,4:02:44.801521867,TSLA,,10,705.79
20210316,4:02:45.661984438,TSLA,,1,705.09
20210316,4:02:52.418511461,TSLA,,12,705.05
20210316,4:02:54.836736029,TSLA,,4,705.11
20210316,4:02:57.897031344,TSLA,,1,705.1
20210316,4:03:08.097468541,TSLA,,6,705.24
20210316,4:03:08.382409497,TSLA,,58,705.23
20210316,4:03:08.382409804,TSLA,,5,705.22
20210316,4:03:08.382409975,TSLA,,18,705.17
20210316,4:03:08.382410509,TSLA,,100,705.16
20210316,4:03:08.382419058,TSLA,,100,705.16
20210316,4:03:08.382512468,TSLA,,26,705.1
20210316,4:03:08.382514650,TSLA,,9,705
20210316,4:03:08.382516741,TSLA,,1,705
20210316,4:03:08.382520940,TSLA,,2,705
20210316,4:03:08.382523824,TSLA,,8,705
20210316,4:03:08.382526569,TSLA,,73,705
20210316,4:03:09.492717967,TSLA,,27,705
20210316,4:03:09.492721073,TSLA,,3,705
20210316,4:03:11.441434716,TSLA,,1,704.99
20210316,4:03:13.634355234,TSLA,,5,704.99
20210316,4:03:20.328438364,TSLA,,5,704.99
20210316,4:03:20.328666427,TSLA,,5,705.3
20210316,4:03:20.367691757,TSLA,,5,705.3
20210316,4:03:20.629207415,TSLA,,1,704.99
20210316,4:03:20.637534596,TSLA,,5,704.99
20210316,4:03:22.312212876,TSLA,,30,704.95
20210316,4:03:25.931509499,TSLA,,5,704.95
20210316,4:03:27.131930909,TSLA,,10,705.3
20210316,4:03:32.754862500,TSLA,,10,704.99
20210316,4:03:39.216116172,TSLA,,10,705.3
20210316,4:03:42.184883261,TSLA,,10,704.99
20210316,4:03:45.692048459,TSLA,,10,705.3
20210316,4:03:47.424748331,TSLA,,10,704.99
20210316,4:03:47.876810120,TSLA,,2,704.99
20210316,4:03:47.877041658,TSLA,,2,705.3
20210316,4:03:50.276378883,TSLA,,8,705.3
20210316,4:03:51.331810116,TSLA,,1,705
20210316,4:03:51.485111628,TSLA,,10,704.99
20210316,4:03:54.724802629,TSLA,,8,704.99
20210316,4:03:58.339676368,TSLA,,2,705
20210316,4:03:59.398661595,TSLA,,1,704.99
20210316,4:04:01.655735905,TSLA,,2,704.99
20210316,4:04:02.522661020,TSLA,,7,705
20210316,4:04:02.522661245,TSLA,,9,705
20210316,4:04:02.522661399,TSLA,,50,704.98
20210316,4:04:02.522661545,TSLA,,5,704.95
20210316,4:04:02.522669959,TSLA,,25,704.77
20210316,4:04:02.522676698,TSLA,,100,704.66
20210316,4:04:02.522676937,TSLA,,100,704.66
20210316,4:04:02.522773647,TSLA,,1,704.26
20210316,4:04:02.522777749,TSLA,,20,704.2
20210316,4:04:02.522779724,TSLA,,100,704.02
20210316,4:04:02.522848000,TSLA,,100,704.01
20210316,4:04:02.522850145,TSLA,,1,704
20210316,4:04:02.522853158,TSLA,,34,704
20210316,4:04:02.523442925,TSLA,,1,704.6
20210316,4:04:02.656363022,TSLA,,2,704.22
20210316,4:04:09.388916198,TSLA,,25,704.55
20210316,4:04:09.388916395,TSLA,,15,704.59
20210316,4:04:09.388937079,TSLA,,10,704.59
20210316,4:04:09.388937228,TSLA,,38,704.87
20210316,4:04:09.389056258,TSLA,,16,704.87
20210316,4:04:09.398344626,TSLA,,6,704.78
20210316,4:04:09.398347634,TSLA,,7,704.86
20210316,4:04:16.369394189,TSLA,,13,704.01
20210316,4:04:16.684369349,TSLA,,10,704
20210316,4:04:16.724342597,TSLA,,25,704
20210316,4:04:17.680886369,TSLA,,1,704.55
20210316,4:04:18.825830602,TSLA,,5,704.01
20210316,4:04:18.825950167,TSLA,,14,704.01
20210316,4:04:21.797983859,TSLA,,18,704.37
20210316,4:04:22.446663240,TSLA,,32,704
20210316,4:04:22.446663413,TSLA,,1,704
20210316,4:04:22.446663618,TSLA,,7,704
20210316,4:04:31.539745111,TSLA,,60,704
20210316,4:04:32.564155659,TSLA,,2,704.01
20210316,4:04:37.681582533,TSLA,,1,704.01
20210316,4:04:37.681585565,TSLA,,11,704.01
20210316,4:04:37.681588642,TSLA,,19,704
20210316,4:04:37.802973003,TSLA,,29,704
20210316,4:04:40.204581747,TSLA,,3,704
20210316,4:04:44.122450378,TSLA,,1,704.03
20210316,4:04:44.122891421,TSLA,,10,704.01
20210316,4:04:44.123497906,TSLA,,1,704.01
20210316,4:04:44.123890112,TSLA,,2,704.01
20210316,4:04:44.127021399,TSLA,,1,704.01
20210316,4:04:44.127400229,TSLA,,1,704.01
20210316,4:04:44.885363073,TSLA,,10,704.02
20210316,4:04:46.287859798,TSLA,,10,704
20210316,4:04:46.429620769,TSLA,,10,704
20210316,4:04:46.478794873,TSLA,,10,704.01
20210316,4:04:46.622720723,TSLA,,10,704.01
20210316,4:04:46.689021657,TSLA,,10,704.01
20210316,4:04:46.773530001,TSLA,,10,704.01
20210316,4:04:47.212154299,TSLA,,10,704
20210316,4:04:48.405070407,TSLA,,1,704.38
20210316,4:04:48.415545385,TSLA,,11,704
20210316,4:04:49.374003808,TSLA,,1,704.01
20210316,4:04:52.596781606,TSLA,,12,704.01
20210316,4:04:56.733068263,TSLA,,10,704.16
20210316,4:04:56.733068420,TSLA,,10,704.01
20210316,4:04:57.416844989,TSLA,,2,704.01
20210316,4:04:58.189059490,TSLA,,1,704
20210316,4:04:58.189495563,TSLA,,19,704
20210316,4:05:00.126245779,TSLA,,12,704.01
20210316,4:05:00.126357910,TSLA,,40,704.01
20210316,4:05:05.326886430,TSLA,,10,704.34
20210316,4:05:08.577784345,TSLA,,1,704.34
20210316,4:05:10.946226640,TSLA,,1,704.19
20210316,4:05:21.988240933,TSLA,,1,704.02
20210316,4:05:21.988838937,TSLA,,5,704.47
20210316,4:05:21.988841160,TSLA,,19,704.47
20210316,4:05:30.855161993,TSLA,,2,704.34
20210316,4:05:31.150446036,TSLA,,1,704.38
20210316,4:05:31.150449022,TSLA,,42,704.5
20210316,4:05:31.968048366,TSLA,,158,704.5
20210316,4:05:31.968118395,TSLA,,1,704.86
20210316,4:05:31.968120289,TSLA,,100,704.88
20210316,4:05:32.261362174,TSLA,,1,704.99
20210316,4:05:32.261364432,TSLA,,10,705
20210316,4:05:32.261367474,TSLA,,25,705.15
20210316,4:05:32.261370965,TSLA,,4,705.21
20210316,4:05:32.261761729,TSLA,,1,705.1
20210316,4:05:32.261931615,TSLA,,6,705.28
20210316,4:05:32.264755790,TSLA,,5,705.28
20210316,4:05:32.273016118,TSLA,,5,705.28
20210316,4:05:32.282408783,TSLA,,5,705.28
20210316,4:05:32.293433982,TSLA,,5,705.28
20210316,4:05:32.304429445,TSLA,,5,705.28
20210316,4:05:32.315433228,TSLA,,5,705.28
20210316,4:05:32.325939251,TSLA,,4,705.28
20210316,4:05:36.235849558,TSLA,,1,704.95
20210316,4:05:36.527183575,TSLA,,1,704.95
20210316,4:05:39.709061950,TSLA,,2,704.95
20210316,4:05:39.747026624,TSLA,,2,704.95
20210316,4:05:42.359286553,TSLA,,25,705.39
20210316,4:05:42.359290783,TSLA,,5,705.21
20210316,4:05:45.525488816,TSLA,,15,705.28
20210316,4:05:46.556456345,TSLA,,1,705.35
20210316,4:05:47.772709849,TSLA,,1,705.35
20210316,4:05:48.086649517,TSLA,,6,705.35
20210316,4:05:48.964608159,TSLA,,1,705.5
20210316,4:05:48.964608313,TSLA,,1,705.25
20210316,4:05:54.700088527,TSLA,,50,705.4
20210316,4:05:57.609907201,TSLA,,1,705.5
20210316,4:05:57.609910316,TSLA,,1,705.5
20210316,4:05:57.609913036,TSLA,,1,705.5
20210316,4:05:57.609916651,TSLA,,7,705.69
20210316,4:06:13.549389106,TSLA,,25,705.41
20210316,4:06:13.549392875,TSLA,,25,705.41
20210316,4:06:13.549969466,TSLA,,25,705.41
20210316,4:06:13.569731677,TSLA,,1,705.69
20210316,4:06:13.569762240,TSLA,,2,705.79
20210316,4:06:13.569843670,TSLA,,90,705.59
20210316,4:06:13.569843801,TSLA,,5,705.6
20210316,4:06:13.569844026,TSLA,,5,705.9
20210316,4:06:17.597321603,TSLA,,25,705.9
20210316,4:06:17.638503737,TSLA,,3,705.87
20210316,4:06:27.980776006,TSLA,,1,706
20210316,4:06:30.075936747,TSLA,,20,705.9
20210316,4:06:30.075940941,TSLA,,3,706
20210316,4:06:30.075941167,TSLA,,2,706.1
20210316,4:06:31.130959309,TSLA,,1,705.87
20210316,4:06:34.379451738,TSLA,,1,706.1
20210316,4:06:34.379451898,TSLA,,13,706.29
20210316,4:06:41.107354160,TSLA,,1,706.17
20210316,4:06:41.107951766,TSLA,,25,705.8
20210316,4:06:41.260636726,TSLA,,25,705.8
20210316,4:06:44.695396862,TSLA,,1,706.29
20210316,4:06:46.387592980,TSLA,,3,706.17
20210316,4:06:47.599409895,TSLA,,6,706.25
20210316,4:06:49.360528435,TSLA,,3,706.14
20210316,4:06:49.373930743,TSLA,,1,706
20210316,4:06:49.373932787,TSLA,,24,705.87
20210316,4:06:49.438958259,TSLA,,2,706
20210316,4:06:52.652682874,TSLA,,25,706.05
20210316,4:06:52.652716418,TSLA,,4,706.17
20210316,4:06:53.749449427,TSLA,,1,706.23
20210316,4:06:54.529528345,TSLA,,20,706.08
20210316,4:07:02.384737601,TSLA,,1,705.9
20210316,4:07:02.384737834,TSLA,,25,705.49
20210316,4:07:02.384737993,TSLA,,25,705.27
20210316,4:07:02.384738149,TSLA,,1,705.19
20210316,4:07:02.384746649,TSLA,,5,705
20210316,4:07:02.384749286,TSLA,,1,705
20210316,4:07:02.384866851,TSLA,,142,705
20210316,4:07:07.755002866,TSLA,,10,705.81
20210316,4:07:09.960955156,TSLA,,2,705.79
20210316,4:07:11.067270020,TSLA,,198,705.18
20210316,4:07:12.182979708,TSLA,,1,705
20210316,4:07:13.923252481,TSLA,,5,705.42
20210316,4:07:14.304694473,TSLA,,29,705.18
20210316,4:07:14.304694711,TSLA,,9,705.19
20210316,4:07:24.971180254,TSLA,,3,705.94
20210316,4:07:27.199623671,TSLA,,2,705.29
20210316,4:07:30.467325822,TSLA,,2,705.41
20210316,4:07:33.447139924,TSLA,,5,705.4
20210316,4:07:36.950074650,TSLA,,2,705.6
20210316,4:07:38.444541239,TSLA,,32,705.94
20210316,4:07:38.444541402,TSLA,,14,705.95
20210316,4:07:40.681036022,TSLA,,3,705.4
20210316,4:07:41.096639755,TSLA,,10,705.95
20210316,4:07:43.239906021,TSLA,,2,705.4
20210316,4:07:43.240005476,TSLA,,2,705.77
20210316,4:07:45.015346207,TSLA,,5,705.4
20210316,4:07:51.155627396,TSLA,,3,705.4
20210316,4:07:56.926978799,TSLA,,1,705.89
20210316,4:07:59.791302109,TSLA,,1,705.4
20210316,4:07:59.791305184,TSLA,,1,705.3
20210316,4:08:01.385547439,TSLA,,25,705.6
20210316,4:08:06.189346071,TSLA,,5,705.61
20210316,4:08:13.520367432,TSLA,,2,705.8
20210316,4:08:13.694788427,TSLA,,70,705.61
20210316,4:08:25.806830940,TSLA,,50,705.4
20210316,4:08:26.211022416,TSLA,,11,705.3
